snp_idx,beta,pvalue
0,-0.05623949778998315,0.07533012878707135
50,-0.03473919113886659,0.27196453642916274
100,0.03108235250008835,0.32565159327620385
150,0.024097002336374934,0.4460515758980508
200,-0.03329623303054432,0.29237796198549426
250,-0.014953077645293076,0.6363146096918741
300,-0.05185382321543232,0.10105468965156472
350,0.017005762485172476,0.5907362407157106
400,0.010431961781162359,0.7414848956107931
450,-0.02537949177138005,0.4222233147187051
500,-0.000285576212600602,0.9927946316423499
550,-0.014865135976666772,0.6383000957753264
600,0.06882265757195301,0.02952808889410985
650,0.014538667570760937,0.6456934960464529
700,-0.017551288480140554,0.5788806559347008
750,0.03196362119602345,0.31212247837460105
800,-0.022479310970130457,0.4771720929233867
850,-0.043441815082006195,0.16951905584876048
900,0.001519791872490836,0.9616683937478843
950,-0.14241784666402305,6.679688997257571e-06
1000,0.020292490116292246,0.5210648190240443
1050,0.053575358921804254,0.0902269796763191
1100,0.01793207020037547,0.5706721611011871
1150,0.012855298491031578,0.6843603941204099
1200,-0.04112345597836847,0.19345094046455502
1250,-0.004986682474258209,0.8746989169319652
1300,-0.0389552515284575,0.21799644778109717
1350,-0.011274094447225484,0.7214525471077049
1400,-0.01902105798678039,0.5475078990659634
1450,-0.024260747968972655,0.4429672419158357
1500,0.011621521924308924,0.713242518354861
1550,0.06829271809950066,0.03080323252069883
1600,0.055648340056938785,0.07844935155990518
1650,0.005393936660621381,0.8645609026003518
1700,0.04537107313253648,0.1513556966874099
1750,-0.006486895901088416,0.8374676987734382
1800,0.03219865681241473,0.3085777256759714
1850,0.013114279153737538,0.6783542695424738
1900,-0.0034642695850102103,0.91276640634779
1950,0.0039403279483767656,0.900836974094992
2000,0.03792380190729194,0.23042845109928245
2050,0.03330284964695922,0.2922820682473508
2100,-0.0485829052823962,0.12445835748914691
2150,-0.00311510877522906,0.9215286109899852
2200,0.021471787330002694,0.49713942446334514
2250,-0.024809743406807073,0.4327157115291871
2300,-0.03180007156204077,0.3146048675608131
2350,0.03466256487551223,0.27302339919755547
2400,-0.16234688663162897,2.8386029571336735e-07
2450,0.010420294787314785,0.7417636965430772
2500,-0.014853613138320378,0.6385604431473568
2550,-0.01429083099823084,0.6513296732172429
2600,-0.017184083983367963,0.5868486097701089
2650,0.00909680657545286,0.7736022024468046
2700,0.021608413451402,0.49440590274967855
2750,0.029324302369413715,0.35376256062971034
2800,-0.02699878941225508,0.39322873455891627
2850,-0.03609758669131712,0.25365944993870526
2900,0.020724936738312667,0.5122230963399723
2950,0.04678669333638613,0.13900001436042175
3000,0.03205857092806639,0.31068725069729775
3050,0.010051011530349081,0.7506056303300599
3100,-0.12163079834535409,0.00011991318355097924
3150,-0.02169134421332403,0.4927506093153151
3200,0.027225997598584753,0.389259170758107
3250,0.012697339731606474,0.6880335343903592
3300,0.0074828837138695165,0.8129441857978741
3350,0.05197720960377802,0.10024569060347832
3400,-0.0006945025062300609,0.9824781899703874
3450,-0.0030121699979769037,0.9241137312864891
3500,0.0011599372039821417,0.9707398086935164
3550,-0.17694734977024867,2.1990252285775114e-08
3600,-0.011976814849013893,0.7048808423808839
3650,0.0014911668964627592,0.962389821792603
3700,-0.01629242818666228,0.6064050124131468
3750,-0.027275700129754683,0.3883940771321095
3800,-0.042937308075497414,0.17452813851549198
3850,-0.04158705730900636,0.1884768938154151
3900,0.01829419277000003,0.5629177076657279
3950,-0.004659980804595097,0.8828466670444206
4000,0.024275288674172668,0.44269394196905254
4050,0.05672124549789221,0.07286373631822407
4100,0.06347685215457477,0.04471620586336966
4150,0.006455495304607896,0.8382435609913235
4200,0.03923246047086382,0.21473901486023994
4250,0.19680556602685909,4.860656321881152e-10
4300,0.02592071997688957,0.41239562504330207
4350,0.039233930123278506,0.21472183924944455
4400,0.010238230779075767,0.7461187690449682
4450,-0.024817304167945847,0.43257549292413966
4500,0.048335989011336525,0.1263839326726055
4550,0.05941753945837287,0.06025165166221358
4600,0.028665919908007712,0.364673390987277
4650,-0.004419102216391943,0.888862037551281
4700,-0.012594821387915804,0.6904214257700891
4750,-0.009567825820076111,0.7622242730815354
4800,0.0334233636174301,0.29053917186314715
4850,-0.021236530131990058,0.501865093193345
4900,-0.04492898739544955,0.15538092119232183
4950,0.02982020685235759,0.3456820591564862
