snp_idx,ae_contrib
0,0.07004867641471431
50,0.08754573121953874
100,0.09578407754659705
250,0.07449905570282513
300,0.07372143619260638
350,0.05626139773214726
400,0.049537256874060305
450,0.08062372371510075
550,0.059204781246419716
600,0.05365543104752388
650,0.05056837513490743
750,0.11821379154296342
800,0.10877503172390557
850,0.057551600004644266
950,0.08477494265002983
1000,0.05566548682900016
1100,0.06768827209334895
1150,0.04939520885243226
1200,0.053260870338366115
1250,0.05460821870555222
1300,0.0530408551140023
1450,0.12718161190889612
1500,0.05394736863183552
1550,0.08406119297955267
1600,0.055800717841523434
1650,0.06193361454252627
1700,0.07467853414054958
1800,0.0627256389704853
1900,0.06861189865444285
2000,0.06326510249082198
2050,0.05396500046053565
2100,0.05445356446427237
2150,0.05090994265837762
2200,0.07171601242237426
2250,0.051118851957816534
2300,0.07490989104318402
2350,0.05175423185240956
2400,0.16713366507950575
2500,0.05510679505181969
2550,0.08029277600899283
2600,0.0590494017272182
2750,0.08633551514807127
2800,0.0948390580523325
2850,0.049427567723481655
2900,0.05117506717857111
2950,0.09867017967447952
3000,0.061516998906920535
3050,0.050533247398671224
3100,0.13008646426389747
3150,0.04999860243738328
3250,0.055930877317229954
3300,0.06916488500317333
3350,0.06753095168422488
3400,0.054881557238058806
3450,0.05562007067969201
3500,0.05910875762051454
3550,0.18535702257675976
3600,0.05223389616634387
3650,0.05339263602227204
3700,0.05171120907031342
3750,0.09865255178302339
3800,0.06267072332164983
3850,0.09588600167133661
3900,0.06049374980541773
4200,0.07817984617886758
4250,0.20971618338370446
4400,0.06149951672029819
4450,0.08095721724887338
4550,0.07956133279527128
4600,0.05961446414472219
4650,0.06523184704516886
4700,0.0838287275182923
4800,0.06172444408059626
4900,0.050189066269667355
4950,0.05262047306697586
